league_key,min_edge_threshold,kelly_fraction,max_edge_ceiling,n_bets,roi,final_bankroll,max_drawdown,win_rate
SERIEA,0.06,0.25,25%,310,-0.04369844813218484,625.2863031262068,0.6538706909317215,0.44516129032258067
SERIEA,0.06,0.25,30%,316,-0.04611182568552553,579.2099404689428,0.7005648940912564,0.4430379746835443
SERIEA,0.06,0.25,35%,318,-0.04340011188431848,595.802895510781,0.7005648940912563,0.44339622641509435
SERIEA,0.06,0.25,40%,320,-0.0524970592478378,540.6127216459149,0.7033883220770979,0.440625
SERIEA,0.08,0.05,sin techo,241,-0.08098513078816513,888.1483514373426,0.2088203405867387,0.4190871369294606
SERIEA,0.08,0.05,20%,215,-0.09746079909486181,890.9536714392094,0.18975803073250352,0.4186046511627907
SERIEA,0.08,0.05,25%,231,-0.06733828467612157,913.1595212329555,0.1845401809521836,0.42424242424242425
SERIEA,0.08,0.05,30%,237,-0.07309607937959743,900.6525758710743,0.20699764152438585,0.4219409282700422
SERIEA,0.08,0.05,35%,239,-0.06853654310626321,905.2443323694711,0.20699764152438566,0.4225941422594142
SERIEA,0.08,0.05,40%,241,-0.08098513078816513,888.1483514373426,0.2088203405867387,0.4190871369294606
SERIEA,0.08,0.1,sin techo,241,-0.07810078540407418,780.7545233923631,0.3794105562381221,0.4190871369294606
SERIEA,0.08,0.1,20%,215,-0.09513877252145449,787.9324704351865,0.347679743629979,0.4186046511627907
SERIEA,0.08,0.1,25%,231,-0.06570433459842387,826.4610271293524,0.33949904852253526,0.42424242424242425
SERIEA,0.08,0.1,30%,237,-0.07024909951692496,803.3589854277702,0.37525238619863294,0.4219409282700422
SERIEA,0.08,0.1,35%,239,-0.06616939544336334,811.250560958488,0.3749724846517362,0.4225941422594142
SERIEA,0.08,0.1,40%,241,-0.07810078540407418,780.7545233923631,0.3794105562381221,0.4190871369294606
SERIEA,0.08,0.15,sin techo,241,-0.07507223086617848,679.3408070080397,0.5174071607733467,0.4190871369294606
SERIEA,0.08,0.15,20%,215,-0.09268625228213467,691.6667475839657,0.4781692387201304,0.4186046511627907
SERIEA,0.08,0.15,25%,231,-0.06388571273949797,741.3563494848029,0.4686192389306711,0.42424242424242425
SERIEA,0.08,0.15,30%,237,-0.06724422711819887,709.6709115611111,0.5116054048002405,0.4219409282700422
SERIEA,0.08,0.15,35%,239,-0.06362420474766159,719.730431433449,0.5103760911333225,0.4225941422594142
SERIEA,0.08,0.15,40%,241,-0.07507223086617848,679.3408070080397,0.5174071607733467,0.4190871369294606
