Date,bet_side,bet_odds,red_flag,won,market
2022-09-11,away,2.5,False,False,SERIEA
2022-09-11,home,2.73,False,False,SERIEA
2022-09-18,away,1.92,True,False,SERIEA
2022-09-18,away,1.85,False,False,SERIEA
2022-10-01,home,2.1,True,False,SERIEA
2022-10-02,home,2.39,False,False,SERIEA
2022-10-02,home,2.12,True,True,SERIEA
2022-10-09,away,2.85,False,False,SERIEA
2022-10-10,away,2.91,False,True,SERIEA
2022-10-15,home,2.61,False,True,SERIEA
2022-10-15,away,2.57,False,True,SERIEA
2022-10-22,away,2.08,True,True,SERIEA
2022-10-23,away,2.47,False,True,SERIEA
2022-10-30,away,2.16,False,False,SERIEA
2022-11-05,away,2.59,False,False,SERIEA
2022-11-11,home,2.6,False,True,SERIEA
2022-11-12,home,2.77,False,False,SERIEA
2022-11-13,home,2.14,False,False,SERIEA
2023-01-04,away,1.51,False,True,SERIEA
2023-01-04,away,2.13,True,False,SERIEA
2023-01-07,away,1.59,False,False,SERIEA
2023-01-08,away,2.19,False,False,SERIEA
2023-01-08,home,2.7,False,False,SERIEA
2023-01-09,away,2.22,False,True,SERIEA
2023-01-28,away,1.51,False,True,SERIEA
2023-02-13,home,1.87,False,True,SERIEA
2023-02-18,away,2.13,True,True,SERIEA
2023-02-26,away,1.72,False,False,SERIEA
2023-03-04,away,2.6,False,False,SERIEA
2023-03-05,away,2.92,False,False,SERIEA
2023-03-05,home,2.36,False,False,SERIEA
2023-03-06,home,1.88,False,True,SERIEA
2023-03-11,away,2.52,False,False,SERIEA
2023-03-12,away,2.72,False,True,SERIEA
2023-03-18,away,2.17,False,False,SERIEA
2023-04-01,away,1.68,False,True,SERIEA
2023-04-01,home,1.79,False,False,SERIEA
2023-04-02,away,2.11,True,True,SERIEA
2023-04-03,home,2.55,False,True,SERIEA
2023-04-07,away,1.69,False,True,SERIEA
2023-04-08,home,2.11,False,False,SERIEA
2023-04-08,home,2.4,False,False,SERIEA
2023-04-08,away,2.94,False,False,SERIEA
2023-04-15,away,2.5,True,False,SERIEA
2023-04-15,home,1.45,False,False,SERIEA
2023-04-17,away,2.97,False,False,SERIEA
2023-04-21,home,2.82,False,True,SERIEA
2023-04-22,away,2.31,True,False,SERIEA
2023-04-28,home,2.88,False,False,SERIEA
2023-04-29,away,2.87,False,False,SERIEA
2023-04-29,away,2.51,False,True,SERIEA
2023-04-30,home,1.83,False,True,SERIEA
2023-04-30,away,2.45,False,False,SERIEA
2023-04-30,away,2.26,False,False,SERIEA
2023-05-03,away,2.22,True,False,SERIEA
2023-05-06,away,2.48,False,True,SERIEA
2023-05-07,home,1.88,False,True,SERIEA
2023-05-08,home,2.22,False,True,SERIEA
2023-05-08,home,2.39,False,False,SERIEA
2023-05-12,home,1.73,False,False,SERIEA
2023-05-13,away,1.69,False,False,SERIEA
2023-05-13,away,1.94,False,False,SERIEA
2023-05-19,home,2.19,True,False,SERIEA
2023-05-20,away,2.44,False,True,SERIEA
2023-05-21,home,2.83,False,True,SERIEA
2023-05-27,away,2.59,False,False,SERIEA
2023-06-03,away,2.09,False,True,SERIEA
2023-06-04,home,1.6,False,True,SERIEA
2023-06-04,home,1.99,False,True,SERIEA
2023-08-28,away,2.69,False,False,SERIEA
